run	source	kind	arm	model_name	position	layer	policy	split	threshold_source	diagnostic_only	n	n_positive	n_negative	threshold	balanced_accuracy	balanced_accuracy_ci_low	balanced_accuracy_ci_high	n_bootstrap_valid	accuracy	auroc	f1	precision	recall	fpr	positive_rate
stage1_natural_pairs_8b_a100_1x_loso_harmbench_standard	harmbench_standard	linear	hidden	hidden_probe	cot_128	12	current_prediction	val	stored_predictions	False	262	131	131		0.6412213740458015				0.6412213740458015	0.8607307266476312	0.4777777777777778	0.8775510204081632	0.3282442748091603	0.04580152671755725	0.18702290076335878
stage1_natural_pairs_8b_a100_1x_loso_harmbench_standard	harmbench_standard	linear	hidden	hidden_probe	cot_128	12	current_prediction	test	stored_predictions	False	304	152	152		0.6776315789473685	0.6331414473684212	0.7221217105263157		0.6776315789473685	0.8395948753462603	0.5701754385964912	0.8552631578947368	0.4276315789473684	0.07236842105263158	0.25
stage1_natural_pairs_8b_a100_1x_loso_harmbench_standard	harmbench_standard	linear	hidden	hidden_probe	cot_128	12	platt_0p5	val	validation_calibrator	False	262	131	131	0.5	0.8053435114503817				0.8053435114503816	0.8607307266476312	0.8060836501901141	0.803030303030303	0.8091603053435115	0.1984732824427481	0.5038167938931297
stage1_natural_pairs_8b_a100_1x_loso_harmbench_standard	harmbench_standard	linear	hidden	hidden_probe	cot_128	12	platt_0p5	test	validation_calibrator	False	304	152	152	0.5	0.75	0.7039473684210527	0.7944901315789472		0.75	0.8395948753462603	0.759493670886076	0.7317073170731707	0.7894736842105263	0.2894736842105263	0.5394736842105263
stage1_natural_pairs_8b_a100_1x_loso_harmbench_standard	harmbench_standard	linear	hidden	hidden_probe	cot_128	12	val_ba_max	val	validation_labels	False	262	131	131	0.5148227512836456	0.8129770992366412				0.8129770992366412	0.8607307266476312	0.807843137254902	0.8306451612903226	0.7862595419847328	0.16030534351145037	0.4732824427480916
stage1_natural_pairs_8b_a100_1x_loso_harmbench_standard	harmbench_standard	linear	hidden	hidden_probe	cot_128	12	val_ba_max	test	validation_labels	False	304	152	152	0.5148227512836456	0.7467105263157895	0.694078947368421	0.7960526315789473		0.7467105263157895	0.8395948753462603	0.7475409836065574	0.7450980392156863	0.75	0.2565789473684211	0.5032894736842105
stage1_natural_pairs_8b_a100_1x_loso_harmbench_standard	harmbench_standard	linear	hidden	hidden_probe	cot_128	12	test_score_median_transductive	test	test_scores_unlabeled	False	304	152	152	0.5184915065765381	0.75	0.700657894736842	0.8026315789473684		0.75	0.8395948753462603	0.75	0.75	0.75	0.25	0.5
stage1_natural_pairs_8b_a100_1x_loso_harmbench_standard	harmbench_standard	linear	hidden	hidden_probe	cot_128	12	oracle_test_ba_max	test	test_labels	True	304	152	152	0.368121936917305	0.7763157894736843	0.736842105263158	0.819078947368421		0.7763157894736842	0.8395948753462603	0.8023255813953488	0.71875	0.9078947368421053	0.35526315789473684	0.631578947368421
stage1_natural_pairs_8b_a100_1x_loso_harmbench_standard	harmbench_standard	linear	surface_selected	word_bow	cot_128	12	current_prediction	val	stored_predictions	False	264	132	132		0.8522727272727273				0.8522727272727273	0.946969696969697	0.8550185873605948	0.8394160583941606	0.8712121212121212	0.16666666666666666	0.5189393939393939
stage1_natural_pairs_8b_a100_1x_loso_harmbench_standard	harmbench_standard	linear	surface_selected	word_bow	cot_128	12	current_prediction	test	stored_predictions	False	304	152	152		0.9078947368421053	0.875	0.9342105263157895		0.9078947368421053	0.9654605263157894	0.9090909090909091	0.8974358974358975	0.9210526315789473	0.10526315789473684	0.5131578947368421
stage1_natural_pairs_8b_a100_1x_loso_harmbench_standard	harmbench_standard	linear	surface_selected	word_bow	cot_128	12	platt_0p5	val	validation_calibrator	False	264	132	132	0.5	0.8560606060606061				0.8560606060606061	0.946969696969697	0.8571428571428571	0.8507462686567164	0.8636363636363636	0.15151515151515152	0.5075757575757576
stage1_natural_pairs_8b_a100_1x_loso_harmbench_standard	harmbench_standard	linear	surface_selected	word_bow	cot_128	12	platt_0p5	test	validation_calibrator	False	304	152	152	0.5	0.9111842105263157	0.881578947368421	0.9407894736842105		0.9111842105263158	0.9654605263157894	0.9120521172638436	0.9032258064516129	0.9210526315789473	0.09868421052631579	0.5098684210526315
stage1_natural_pairs_8b_a100_1x_loso_harmbench_standard	harmbench_standard	linear	surface_selected	word_bow	cot_128	12	val_ba_max	val	validation_labels	False	264	132	132	0.375324315795856	0.8712121212121212				0.8712121212121212	0.946969696969697	0.8794326241134752	0.8266666666666667	0.9393939393939394	0.19696969696969696	0.5681818181818182
stage1_natural_pairs_8b_a100_1x_loso_harmbench_standard	harmbench_standard	linear	surface_selected	word_bow	cot_128	12	val_ba_max	test	validation_labels	False	304	152	152	0.375324315795856	0.9144736842105263	0.8831414473684212	0.9407894736842105		0.9144736842105263	0.9654605263157894	0.9171974522292994	0.8888888888888888	0.9473684210526315	0.11842105263157894	0.5328947368421053
stage1_natural_pairs_8b_a100_1x_loso_harmbench_standard	harmbench_standard	linear	surface_selected	word_bow	cot_128	12	test_score_median_transductive	test	test_scores_unlabeled	False	304	152	152	0.6686255082938972	0.9078947368421053	0.8798519736842105	0.9375		0.9078947368421053	0.9654605263157894	0.9078947368421053	0.9078947368421053	0.9078947368421053	0.09210526315789473	0.5
stage1_natural_pairs_8b_a100_1x_loso_harmbench_standard	harmbench_standard	linear	surface_selected	word_bow	cot_128	12	oracle_test_ba_max	test	test_labels	True	304	152	152	0.3670445592782469	0.9144736842105263	0.8848684210526316	0.9375		0.9144736842105263	0.9654605263157894	0.9171974522292994	0.8888888888888888	0.9473684210526315	0.11842105263157894	0.5328947368421053
stage1_natural_pairs_8b_a100_1x_loso_harmbench_standard	harmbench_standard	linear	length_only	length_only	cot_128	12	current_prediction	val	stored_predictions	False	264	132	132		0.7954545454545454				0.7954545454545454	0.8681129476584022	0.7857142857142857	0.825	0.75	0.1590909090909091	0.45454545454545453
stage1_natural_pairs_8b_a100_1x_loso_harmbench_standard	harmbench_standard	linear	length_only	length_only	cot_128	12	current_prediction	test	stored_predictions	False	304	152	152		0.861842105263158	0.825657894736842	0.8980263157894737		0.8618421052631579	0.9277614265927978	0.8609271523178808	0.8666666666666667	0.8552631578947368	0.13157894736842105	0.4934210526315789
stage1_natural_pairs_8b_a100_1x_loso_harmbench_standard	harmbench_standard	linear	length_only	length_only	cot_128	12	platt_0p5	val	validation_calibrator	False	264	132	132	0.5	0.821969696969697				0.821969696969697	0.8681129476584022	0.8185328185328186	0.8346456692913385	0.803030303030303	0.1590909090909091	0.4810606060606061
stage1_natural_pairs_8b_a100_1x_loso_harmbench_standard	harmbench_standard	linear	length_only	length_only	cot_128	12	platt_0p5	test	validation_calibrator	False	304	152	152	0.5	0.8585526315789473	0.8223684210526316	0.8964638157894735		0.8585526315789473	0.9277614265927978	0.8599348534201955	0.8516129032258064	0.868421052631579	0.1513157894736842	0.5098684210526315
stage1_natural_pairs_8b_a100_1x_loso_harmbench_standard	harmbench_standard	linear	length_only	length_only	cot_128	12	val_ba_max	val	validation_labels	False	264	132	132	0.4750090440030229	0.8257575757575757				0.8257575757575758	0.8681129476584022	0.823076923076923	0.8359375	0.8106060606060606	0.1590909090909091	0.48484848484848486
stage1_natural_pairs_8b_a100_1x_loso_harmbench_standard	harmbench_standard	linear	length_only	length_only	cot_128	12	val_ba_max	test	validation_labels	False	304	152	152	0.4750090440030229	0.8651315789473684	0.8305098684210526	0.8980263157894737		0.8651315789473685	0.9277614265927978	0.8673139158576052	0.8535031847133758	0.881578947368421	0.1513157894736842	0.5164473684210527
stage1_natural_pairs_8b_a100_1x_loso_harmbench_standard	harmbench_standard	linear	length_only	length_only	cot_128	12	test_score_median_transductive	test	test_scores_unlabeled	False	304	152	152	0.4908930760381653	0.8618421052631579	0.8223684210526316	0.9013157894736843		0.8618421052631579	0.9277614265927978	0.8618421052631579	0.8618421052631579	0.8618421052631579	0.13815789473684212	0.5
stage1_natural_pairs_8b_a100_1x_loso_harmbench_standard	harmbench_standard	linear	length_only	length_only	cot_128	12	oracle_test_ba_max	test	test_labels	True	304	152	152	0.4323072677580383	0.8717105263157895	0.8403782894736842	0.9046052631578947		0.8717105263157895	0.9277614265927978	0.8769716088328076	0.8424242424242424	0.9144736842105263	0.17105263157894737	0.5427631578947368
stage1_natural_pairs_8b_a100_1x_loso_reasoningshield	reasoningshield	linear	hidden	hidden_probe	cot_9	12	current_prediction	val	stored_predictions	False	196	98	98		0.6326530612244898				0.6326530612244898	0.8313202832153269	0.45454545454545453	0.8823529411764706	0.30612244897959184	0.04081632653061224	0.17346938775510204
stage1_natural_pairs_8b_a100_1x_loso_reasoningshield	reasoningshield	linear	hidden	hidden_probe	cot_9	12	current_prediction	test	stored_predictions	False	670	335	335		0.5686567164179105	0.5492537313432836	0.5895522388059702		0.5686567164179105	0.7025484517709957	0.3036144578313253	0.7875	0.1880597014925373	0.050746268656716415	0.11940298507462686
stage1_natural_pairs_8b_a100_1x_loso_reasoningshield	reasoningshield	linear	hidden	hidden_probe	cot_9	12	platt_0p5	val	validation_calibrator	False	196	98	98	0.5	0.7704081632653061				0.7704081632653061	0.8313202832153269	0.7906976744186046	0.7264957264957265	0.8673469387755102	0.32653061224489793	0.5969387755102041
stage1_natural_pairs_8b_a100_1x_loso_reasoningshield	reasoningshield	linear	hidden	hidden_probe	cot_9	12	platt_0p5	test	validation_calibrator	False	670	335	335	0.5	0.6537313432835821	0.615634328358209	0.6880597014925374		0.6537313432835821	0.7025484517709957	0.6452599388379205	0.6614420062695925	0.6298507462686567	0.32238805970149254	0.4761194029850746
stage1_natural_pairs_8b_a100_1x_loso_reasoningshield	reasoningshield	linear	hidden	hidden_probe	cot_9	12	val_ba_max	val	validation_labels	False	196	98	98	0.5099669098854065	0.7704081632653061				0.7704081632653061	0.8313202832153269	0.7906976744186046	0.7264957264957265	0.8673469387755102	0.32653061224489793	0.5969387755102041
stage1_natural_pairs_8b_a100_1x_loso_reasoningshield	reasoningshield	linear	hidden	hidden_probe	cot_9	12	val_ba_max	test	validation_labels	False	670	335	335	0.5099669098854065	0.6537313432835821	0.6230970149253732	0.684365671641791		0.6537313432835821	0.7025484517709957	0.6452599388379205	0.6614420062695925	0.6298507462686567	0.32238805970149254	0.4761194029850746
stage1_natural_pairs_8b_a100_1x_loso_reasoningshield	reasoningshield	linear	hidden	hidden_probe	cot_9	12	test_score_median_transductive	test	test_scores_unlabeled	False	670	335	335	0.49341967701911926	0.6567164179104478	0.6230970149253732	0.691044776119403		0.6567164179104478	0.7025484517709957	0.6567164179104478	0.6567164179104478	0.6567164179104478	0.34328358208955223	0.5
stage1_natural_pairs_8b_a100_1x_loso_reasoningshield	reasoningshield	linear	hidden	hidden_probe	cot_9	12	oracle_test_ba_max	test	test_labels	True	670	335	335	0.4277094900608063	0.6582089552238806	0.6238805970149254	0.6940298507462687		0.6582089552238806	0.7025484517709957	0.6841379310344827	0.6358974358974359	0.7402985074626866	0.42388059701492536	0.582089552238806
stage1_natural_pairs_8b_a100_1x_loso_reasoningshield	reasoningshield	linear	surface_selected	word_bow	cot_9	12	current_prediction	val	stored_predictions	False	196	98	98		0.8775510204081632				0.8775510204081632	0.9462723865056226	0.875	0.8936170212765957	0.8571428571428571	0.10204081632653061	0.47959183673469385
stage1_natural_pairs_8b_a100_1x_loso_reasoningshield	reasoningshield	linear	surface_selected	word_bow	cot_9	12	current_prediction	test	stored_predictions	False	670	335	335		0.844776119402985	0.8186194029850746	0.8716417910447761		0.844776119402985	0.9166139451993762	0.8438438438438438	0.8489425981873112	0.8388059701492537	0.14925373134328357	0.49402985074626865
stage1_natural_pairs_8b_a100_1x_loso_reasoningshield	reasoningshield	linear	surface_selected	word_bow	cot_9	12	platt_0p5	val	validation_calibrator	False	196	98	98	0.5	0.8775510204081632				0.8775510204081632	0.9462723865056226	0.8762886597938144	0.8854166666666666	0.8673469387755102	0.11224489795918367	0.4897959183673469
stage1_natural_pairs_8b_a100_1x_loso_reasoningshield	reasoningshield	linear	surface_selected	word_bow	cot_9	12	platt_0p5	test	validation_calibrator	False	670	335	335	0.5	0.8462686567164179	0.8194029850746269	0.8731343283582089		0.8462686567164179	0.9166139451993762	0.8455772113943029	0.8493975903614458	0.8417910447761194	0.14925373134328357	0.4955223880597015
stage1_natural_pairs_8b_a100_1x_loso_reasoningshield	reasoningshield	linear	surface_selected	word_bow	cot_9	12	val_ba_max	val	validation_labels	False	196	98	98	0.2748804657066296	0.8979591836734694				0.8979591836734694	0.9462723865056226	0.9019607843137255	0.8679245283018868	0.9387755102040817	0.14285714285714285	0.5408163265306123
stage1_natural_pairs_8b_a100_1x_loso_reasoningshield	reasoningshield	linear	surface_selected	word_bow	cot_9	12	val_ba_max	test	validation_labels	False	670	335	335	0.2748804657066296	0.8432835820895523	0.8164179104477611	0.8679477611940298		0.8432835820895522	0.9166139451993762	0.8497854077253219	0.8159340659340659	0.8865671641791045	0.2	0.5432835820895522
stage1_natural_pairs_8b_a100_1x_loso_reasoningshield	reasoningshield	linear	surface_selected	word_bow	cot_9	12	test_score_median_transductive	test	test_scores_unlabeled	False	670	335	335	0.4585604123557644	0.8477611940298507	0.8253731343283581	0.8724253731343283		0.8477611940298507	0.9166139451993762	0.8477611940298507	0.8477611940298507	0.8477611940298507	0.15223880597014924	0.5
stage1_natural_pairs_8b_a100_1x_loso_reasoningshield	reasoningshield	linear	surface_selected	word_bow	cot_9	12	oracle_test_ba_max	test	test_labels	True	670	335	335	0.39520468071771864	0.8507462686567164	0.8253731343283581	0.8761194029850746		0.8507462686567164	0.9166139451993762	0.8525073746312685	0.8425655976676385	0.8626865671641791	0.16119402985074627	0.5119402985074627
stage1_natural_pairs_8b_a100_1x_loso_reasoningshield	reasoningshield	linear	length_only	length_only	cot_9	12	current_prediction	val	stored_predictions	False	196	98	98		0.7908163265306123				0.7908163265306123	0.8587047063723449	0.7759562841530054	0.8352941176470589	0.7244897959183674	0.14285714285714285	0.4336734693877551
stage1_natural_pairs_8b_a100_1x_loso_reasoningshield	reasoningshield	linear	length_only	length_only	cot_9	12	current_prediction	test	stored_predictions	False	670	335	335		0.708955223880597	0.6723507462686567	0.7380970149253732		0.7089552238805971	0.7959991089329471	0.6632124352331606	0.7868852459016393	0.573134328358209	0.15522388059701492	0.3641791044776119
stage1_natural_pairs_8b_a100_1x_loso_reasoningshield	reasoningshield	linear	length_only	length_only	cot_9	12	platt_0p5	val	validation_calibrator	False	196	98	98	0.5	0.8112244897959183				0.8112244897959183	0.8587047063723449	0.8021390374331551	0.8426966292134831	0.7653061224489796	0.14285714285714285	0.45408163265306123
stage1_natural_pairs_8b_a100_1x_loso_reasoningshield	reasoningshield	linear	length_only	length_only	cot_9	12	platt_0p5	test	validation_calibrator	False	670	335	335	0.5	0.7298507462686568	0.6992164179104478	0.7611940298507462		0.7298507462686568	0.7959991089329471	0.6988352745424293	0.7894736842105263	0.6268656716417911	0.16716417910447762	0.3970149253731343
stage1_natural_pairs_8b_a100_1x_loso_reasoningshield	reasoningshield	linear	length_only	length_only	cot_9	12	val_ba_max	val	validation_labels	False	196	98	98	0.427681538840638	0.8214285714285714				0.8214285714285714	0.8587047063723449	0.8186528497409327	0.8315789473684211	0.8061224489795918	0.16326530612244897	0.4846938775510204
stage1_natural_pairs_8b_a100_1x_loso_reasoningshield	reasoningshield	linear	length_only	length_only	cot_9	12	val_ba_max	test	validation_labels	False	670	335	335	0.427681538840638	0.7328358208955223	0.7	0.764179104477612		0.7328358208955223	0.7959991089329471	0.7126805778491172	0.7708333333333334	0.6626865671641791	0.19701492537313434	0.4298507462686567
stage1_natural_pairs_8b_a100_1x_loso_reasoningshield	reasoningshield	linear	length_only	length_only	cot_9	12	test_score_median_transductive	test	test_scores_unlabeled	False	670	335	335	0.3493116049257605	0.7373134328358208	0.7059701492537314	0.7701492537313432		0.7373134328358208	0.7959991089329471	0.7373134328358208	0.7373134328358208	0.7373134328358208	0.2626865671641791	0.5
stage1_natural_pairs_8b_a100_1x_loso_reasoningshield	reasoningshield	linear	length_only	length_only	cot_9	12	oracle_test_ba_max	test	test_labels	True	670	335	335	0.33300448224810997	0.7462686567164178	0.7149253731343284	0.782089552238806		0.746268656716418	0.7959991089329471	0.7521865889212828	0.7350427350427351	0.7701492537313432	0.27761194029850744	0.5238805970149254
stage1_natural_pairs_8b_a100_1x_loso_strongreject_full	strongreject_full	linear	hidden	hidden_probe	cot_96	17	current_prediction	val	stored_predictions	False	208	104	104		0.75				0.75	0.8692677514792899	0.6867469879518072	0.9193548387096774	0.5480769230769231	0.04807692307692308	0.2980769230769231
stage1_natural_pairs_8b_a100_1x_loso_strongreject_full	strongreject_full	linear	hidden	hidden_probe	cot_96	17	current_prediction	test	stored_predictions	False	553	276	277		0.6776866530633601	0.6462093862815884	0.711715483393026		0.6781193490054249	0.8146680269973317	0.5761904761904761	0.8402777777777778	0.4384057971014493	0.08303249097472924	0.2603978300180832
stage1_natural_pairs_8b_a100_1x_loso_strongreject_full	strongreject_full	linear	hidden	hidden_probe	cot_96	17	platt_0p5	val	validation_calibrator	False	208	104	104	0.5	0.7836538461538461				0.7836538461538461	0.8692677514792899	0.7887323943661971	0.7706422018348624	0.8076923076923077	0.2403846153846154	0.5240384615384616
stage1_natural_pairs_8b_a100_1x_loso_strongreject_full	strongreject_full	linear	hidden	hidden_probe	cot_96	17	platt_0p5	test	validation_calibrator	False	553	276	277	0.5	0.7504774237430021	0.7144750954847485	0.7830733662951918		0.7504520795660036	0.8146680269973317	0.7535714285714286	0.7429577464788732	0.7644927536231884	0.26353790613718414	0.5135623869801085
stage1_natural_pairs_8b_a100_1x_loso_strongreject_full	strongreject_full	linear	hidden	hidden_probe	cot_96	17	val_ba_max	val	validation_labels	False	208	104	104	0.5810071527957916	0.7980769230769231				0.7980769230769231	0.8692677514792899	0.79	0.8229166666666666	0.7596153846153846	0.16346153846153846	0.46153846153846156
stage1_natural_pairs_8b_a100_1x_loso_strongreject_full	strongreject_full	linear	hidden	hidden_probe	cot_96	17	val_ba_max	test	validation_labels	False	553	276	277	0.5810071527957916	0.7376720033485062	0.6964041163082718	0.7733337709222186		0.7377938517179023	0.8146680269973317	0.7184466019417476	0.7740585774058577	0.6702898550724637	0.19494584837545126	0.4321880650994575
stage1_natural_pairs_8b_a100_1x_loso_strongreject_full	strongreject_full	linear	hidden	hidden_probe	cot_96	17	test_score_median_transductive	test	test_scores_unlabeled	False	553	276	277	0.5231764316558838	0.7450295610317585	0.7148014440433212	0.7793779103228169		0.7450271247739603	0.8146680269973317	0.7450271247739603	0.7436823104693141	0.7463768115942029	0.2563176895306859	0.5009041591320073
stage1_natural_pairs_8b_a100_1x_loso_strongreject_full	strongreject_full	linear	hidden	hidden_probe	cot_96	17	oracle_test_ba_max	test	test_labels	True	553	276	277	0.5105555951595306	0.7540875320462512	0.7187894038089259	0.7851985559566788		0.7540687160940326	0.8146680269973317	0.7562724014336918	0.74822695035461	0.7644927536231884	0.2563176895306859	0.5099457504520796
stage1_natural_pairs_8b_a100_1x_loso_strongreject_full	strongreject_full	linear	surface_selected	word_bow	cot_96	17	current_prediction	val	stored_predictions	False	208	104	104		0.9134615384615384				0.9134615384615384	0.9737426035502958	0.9134615384615384	0.9134615384615384	0.9134615384615384	0.08653846153846154	0.5
stage1_natural_pairs_8b_a100_1x_loso_strongreject_full	strongreject_full	linear	surface_selected	word_bow	cot_96	17	current_prediction	test	stored_predictions	False	554	277	277		0.855595667870036	0.8249097472924187	0.8854241877256317		0.855595667870036	0.9370902787733452	0.8513011152416357	0.8773946360153256	0.8267148014440433	0.11552346570397112	0.4711191335740072
stage1_natural_pairs_8b_a100_1x_loso_strongreject_full	strongreject_full	linear	surface_selected	word_bow	cot_96	17	platt_0p5	val	validation_calibrator	False	208	104	104	0.5	0.9134615384615384				0.9134615384615384	0.9737426035502958	0.9134615384615384	0.9134615384615384	0.9134615384615384	0.08653846153846154	0.5
stage1_natural_pairs_8b_a100_1x_loso_strongreject_full	strongreject_full	linear	surface_selected	word_bow	cot_96	17	platt_0p5	test	validation_calibrator	False	554	277	277	0.5	0.8501805054151624	0.8231046931407943	0.8790613718411553		0.8501805054151624	0.9370902787733452	0.8465804066543438	0.8674242424242424	0.8267148014440433	0.1263537906137184	0.47653429602888087
stage1_natural_pairs_8b_a100_1x_loso_strongreject_full	strongreject_full	linear	surface_selected	word_bow	cot_96	17	val_ba_max	val	validation_labels	False	208	104	104	0.42179090341021075	0.9230769230769231				0.9230769230769231	0.9737426035502958	0.9238095238095239	0.9150943396226415	0.9326923076923077	0.08653846153846154	0.5096153846153846
stage1_natural_pairs_8b_a100_1x_loso_strongreject_full	strongreject_full	linear	surface_selected	word_bow	cot_96	17	val_ba_max	test	validation_labels	False	554	277	277	0.42179090341021075	0.8537906137184115	0.8231046931407942	0.8844765342960288		0.8537906137184116	0.9370902787733452	0.852994555353902	0.8576642335766423	0.8483754512635379	0.1407942238267148	0.49458483754512633
stage1_natural_pairs_8b_a100_1x_loso_strongreject_full	strongreject_full	linear	surface_selected	word_bow	cot_96	17	test_score_median_transductive	test	test_scores_unlabeled	False	554	277	277	0.39947220386153504	0.851985559566787	0.8194945848375452	0.8790613718411553		0.851985559566787	0.9370902787733452	0.851985559566787	0.851985559566787	0.851985559566787	0.148014440433213	0.5
stage1_natural_pairs_8b_a100_1x_loso_strongreject_full	strongreject_full	linear	surface_selected	word_bow	cot_96	17	oracle_test_ba_max	test	test_labels	True	554	277	277	0.4274988584420836	0.855595667870036	0.8285198555956679	0.8844765342960289		0.855595667870036	0.9370902787733452	0.8545454545454545	0.8608058608058609	0.8483754512635379	0.1371841155234657	0.4927797833935018
stage1_natural_pairs_8b_a100_1x_loso_strongreject_full	strongreject_full	linear	length_only	length_only	cot_96	17	current_prediction	val	stored_predictions	False	208	104	104		0.8413461538461539				0.8413461538461539	0.8927514792899409	0.835820895522388	0.865979381443299	0.8076923076923077	0.125	0.46634615384615385
stage1_natural_pairs_8b_a100_1x_loso_strongreject_full	strongreject_full	linear	length_only	length_only	cot_96	17	current_prediction	test	stored_predictions	False	554	277	277		0.7924187725631768	0.759927797833935	0.8276624548736462		0.7924187725631769	0.8628549831224178	0.7935368043087971	0.7892857142857143	0.7978339350180506	0.21299638989169675	0.5054151624548736
stage1_natural_pairs_8b_a100_1x_loso_strongreject_full	strongreject_full	linear	length_only	length_only	cot_96	17	platt_0p5	val	validation_calibrator	False	208	104	104	0.5	0.8365384615384615				0.8365384615384616	0.8927514792899409	0.8349514563106796	0.8431372549019608	0.8269230769230769	0.15384615384615385	0.49038461538461536
stage1_natural_pairs_8b_a100_1x_loso_strongreject_full	strongreject_full	linear	length_only	length_only	cot_96	17	platt_0p5	test	validation_calibrator	False	554	277	277	0.5	0.7996389891696751	0.7671480144404332	0.8303249097472925		0.7996389891696751	0.8628549831224178	0.8056042031523643	0.782312925170068	0.8303249097472925	0.23104693140794225	0.5306859205776173
stage1_natural_pairs_8b_a100_1x_loso_strongreject_full	strongreject_full	linear	length_only	length_only	cot_96	17	val_ba_max	val	validation_labels	False	208	104	104	0.3801653445154274	0.8557692307692308				0.8557692307692307	0.8927514792899409	0.8584905660377359	0.8425925925925926	0.875	0.16346153846153846	0.5192307692307693
stage1_natural_pairs_8b_a100_1x_loso_strongreject_full	strongreject_full	linear	length_only	length_only	cot_96	17	val_ba_max	test	validation_labels	False	554	277	277	0.3801653445154274	0.7707581227436823	0.7364620938628159	0.8050541516245487		0.7707581227436823	0.8628549831224178	0.7974481658692185	0.7142857142857143	0.9025270758122743	0.36101083032490977	0.631768953068592
stage1_natural_pairs_8b_a100_1x_loso_strongreject_full	strongreject_full	linear	length_only	length_only	cot_96	17	test_score_median_transductive	test	test_scores_unlabeled	False	554	277	277	0.5040565445927208	0.7906137184115524	0.7581227436823105	0.8231046931407942		0.7906137184115524	0.8628549831224178	0.7906137184115524	0.7906137184115524	0.7906137184115524	0.20938628158844766	0.5
stage1_natural_pairs_8b_a100_1x_loso_strongreject_full	strongreject_full	linear	length_only	length_only	cot_96	17	oracle_test_ba_max	test	test_labels	True	554	277	277	0.4714231860613625	0.7996389891696751	0.7653429602888087	0.8303249097472925		0.7996389891696751	0.8628549831224178	0.8056042031523643	0.782312925170068	0.8303249097472925	0.23104693140794225	0.5306859205776173
stage1_natural_pairs_8b_a100_1x_loso_wildjailbreak_vanilla_harmful	wildjailbreak_vanilla_harmful	linear	hidden	hidden_probe	cot_128	14	current_prediction	val	stored_predictions	False	123	62	61		0.6528291909042834				0.6504065040650406	0.7879428873611845	0.5057471264367817	0.88	0.3548387096774194	0.04918032786885246	0.2032520325203252
stage1_natural_pairs_8b_a100_1x_loso_wildjailbreak_vanilla_harmful	wildjailbreak_vanilla_harmful	linear	hidden	hidden_probe	cot_128	14	current_prediction	test	stored_predictions	False	4034	2019	2015		0.6633813756902478	0.6522526477652217	0.6759189634913211		0.6631135349529004	0.8252482311342495	0.5388530709195792	0.8556034482758621	0.3932639920752848	0.06650124069478908	0.2300446207238473
stage1_natural_pairs_8b_a100_1x_loso_wildjailbreak_vanilla_harmful	wildjailbreak_vanilla_harmful	linear	hidden	hidden_probe	cot_128	14	platt_0p5	val	validation_calibrator	False	123	62	61	0.5	0.7153622421998942				0.7154471544715447	0.7879428873611845	0.72	0.7142857142857143	0.7258064516129032	0.29508196721311475	0.5121951219512195
stage1_natural_pairs_8b_a100_1x_loso_wildjailbreak_vanilla_harmful	wildjailbreak_vanilla_harmful	linear	hidden	hidden_probe	cot_128	14	platt_0p5	test	validation_calibrator	False	4034	2019	2015	0.5	0.7456375352267601	0.7334418207141926	0.7588079009144824		0.7456618740704016	0.8252482311342495	0.7519342359767892	0.7345299952763344	0.7701832590391283	0.27890818858560795	0.5247892910262767
stage1_natural_pairs_8b_a100_1x_loso_wildjailbreak_vanilla_harmful	wildjailbreak_vanilla_harmful	linear	hidden	hidden_probe	cot_128	14	val_ba_max	val	validation_labels	False	123	62	61	0.6283182501792908	0.732548915917504				0.7317073170731707	0.7879428873611845	0.7027027027027027	0.7959183673469388	0.6290322580645161	0.16393442622950818	0.3983739837398374
stage1_natural_pairs_8b_a100_1x_loso_wildjailbreak_vanilla_harmful	wildjailbreak_vanilla_harmful	linear	hidden	hidden_probe	cot_128	14	val_ba_max	test	validation_labels	False	4034	2019	2015	0.6283182501792908	0.723204372358377	0.708972306216622	0.7353622755117064		0.7231036192364898	0.8252482311342495	0.692031982354563	0.7804726368159204	0.6215948489351164	0.17518610421836228	0.3986117997025285
stage1_natural_pairs_8b_a100_1x_loso_wildjailbreak_vanilla_harmful	wildjailbreak_vanilla_harmful	linear	hidden	hidden_probe	cot_128	14	test_score_median_transductive	test	test_scores_unlabeled	False	4034	2019	2015	0.5299648642539978	0.7416958251449935	0.7281210544268378	0.7564080349579828		0.7416955875061974	0.8252482311342495	0.7418235877106045	0.7421913733267228	0.7414561664190193	0.25806451612903225	0.5
